Location,"Lat, Long",Address,Property Score,#Green_Rooms,#Total_Rooms,#Proposed_Beds,Reject_Property,Updated Location
https://goo.gl/maps/Sr2j1uMb4pz3UpxVA,"28.469667, 77.091722","129, Sector 28",8.35,18,18,40,NO,"https://www.google.com/maps/place/28%C2%B028'10.8%22N+77%C2%B005'30.2%22E/@28.4696559,77.0895313,17z/data=!3m1!4b1!4m5!3m4!1s0x0:0x0!8m2!3d28.4696559!4d77.09172?hl=en&shorturl=1"
https://goo.gl/maps/ZgD86CrM9zVx6hyP8,"28.459472, 77.100778","272, Sector 42",6.6,5,8,10,YES,"https://www.google.com/maps/place/28%C2%B027'34.1%22N+77%C2%B006'02.8%22E/@28.4593721,77.1007911,20.52z/data=!4m5!3m4!1s0x0:0x0!8m2!3d28.4594707!4d77.1007767?hl=en&shorturl=1"
https://goo.gl/maps/ZgD86CrM9zVx6hyP8,"28.459472, 77.100778","282, Sector 42",6.2,9,9,18,NO,"https://www.google.com/maps/place/28%C2%B027'34.1%22N+77%C2%B006'02.8%22E/@28.4593721,77.1007911,20.52z/data=!4m5!3m4!1s0x0:0x0!8m2!3d28.4594707!4d77.1007767?hl=en&shorturl=1"
https://goo.gl/maps/t2atNzVgTykZLdko6,"28.458056, 77.091333","340, Sector 43",8.9,7,12,14,NO,"https://www.google.com/maps/place/28%C2%B027'29.0%22N+77%C2%B005'28.8%22E/@28.4580602,77.0891366,17z/data=!3m1!4b1!4m5!3m4!1s0x0:0x0!8m2!3d28.4580602!4d77.0913253?hl=en&shorturl=1"
"28.494298934936523,77.1004409790039","28.494298934936523,77.1004409790039",U26/6,9.6,43,43,86,NO,"28.494298934936523,77.1004409790039"
"28.479454040527344,77.03961944580078","28.479454040527344,77.03961944580078","Pooja PG , sec-13",1.4,52,52,132,NO,"28.479454040527344,77.03961944580078"
"https://www.google.com/maps?q=28.475011,77.062086","28.475011,77.062086","E74, Sector 17",8.8,67,67,168,YES,"https://www.google.com/maps?q=28.475011,77.062086"
https://goo.gl/maps/W2WWVE8gi2fY9uyQ6,"28.4523373,77.0389989","562, Sector 15 Part-1",8,7,10,14,YES,"https://www.google.com/maps/place/Sector+15+Part+1,+Sector+15,+Gurugram,+Haryana+122022/@28.4523373,77.0389989,20.55z/data=!4m5!3m4!1s0x390d1841496d0607:0x94e584c05c532b12!8m2!3d28.4526156!4d77.0378186?shorturl=1"
"https://www.google.com/maps/place/28%C2%B028'32.1%22N+77%C2%B004'58.0%22E/@28.475592,77.0805843,17z/data=!3m1!4b1!4m5!3m4!1s0x0:0x0!8m2!3d28.475592!4d77.082773","28.475592,77.0805843",Sector 28,8.3,20,20,40,NO,"https://www.google.com/maps/place/28%C2%B028'32.1%22N+77%C2%B004'58.0%22E/@28.475592,77.0805843,17z/data=!3m1!4b1!4m5!3m4!1s0x0:0x0!8m2!3d28.475592!4d77.082773"
"https://www.google.com/maps?q=28.471717834472656,77.04590606689453&z=17&hl=en","28.471717834472656,77.04590606689453","C-33, Sector - 14",8,9,10,26,NO,"https://www.google.com/maps?q=28.471717834472656,77.04590606689453&z=17&hl=en"
"https://www.google.com/maps?q=28.471177,77.0835027&z=17&hl=en","28.471177,77.0835027","2826, DLF City IV, Sector 28, Gurugram, Haryana 122001",7.8,36,36,76,YES,"https://www.google.com/maps?q=28.471177,77.0835027&z=17&hl=en"
"https://www.google.com/maps?q=28.471177,77.0835027&z=17&hl=en","28.471177,77.0835027","2826, DLF City IV, Sector 28, Gurugram, Haryana 122001",7.8,10,10,21,YES,"https://www.google.com/maps?q=28.471177,77.0835027&z=17&hl=en"
"https://www.google.com/maps/place/28%C2%B029'28.7%22N+77%C2%B005'51.3%22E/@28.4912987,77.0953836,17z/data=!3m1!4b1!4m5!3m4!1s0x0:0x0!8m2!3d28.4912987!4d77.0975723?hl=en","28.4912987,77.0953836","RBS Tower, U Block",8.5,13,14,26,YES,"https://www.google.com/maps/place/28%C2%B029'28.7%22N+77%C2%B005'51.3%22E/@28.4912987,77.0953836,17z/data=!3m1!4b1!4m5!3m4!1s0x0:0x0!8m2!3d28.4912987!4d77.0975723?hl=en"
"https://www.google.com/maps/place/28%C2%B025'22.7%22N+77%C2%B004'27.0%22E/@28.4229803,77.071976,17z/data=!3m1!4b1!4m5!3m4!1s0x0:0x0!8m2!3d28.4229803!4d77.0741647?hl=en","28.4229803,77.071976",Sector - 57,8,14,14,28,NO,"https://www.google.com/maps/place/28%C2%B025'22.7%22N+77%C2%B004'27.0%22E/@28.4229803,77.071976,17z/data=!3m1!4b1!4m5!3m4!1s0x0:0x0!8m2!3d28.4229803!4d77.0741647?hl=en"
"https://www.google.com/maps?q=28.43039894104004,77.04127502441406&z=17&hl=en","28.43039894104004,77.04127502441406","726, Sector 38",6.75,11,14,29,YES,"https://www.google.com/maps?q=28.43039894104004,77.04127502441406&z=17&hl=en"
"https://www.google.com/maps?q=28.457109451293945,77.0578384399414&z=17&hl=en","28.457109451293945,77.0578384399414",Sector 38,7.8,36,36,103,YES,"https://www.google.com/maps?q=28.457109451293945,77.0578384399414&z=17&hl=en"
https://goo.gl/maps/DsdvxrV3yTdmESjLA,"28.4376175,77.0543468",Anand Pg Hno. 1493 jalvihar colony sector 46,7.75,23,23,69,NO,"https://www.google.com/maps/place/Anand+PG/@28.4376175,77.0543468,19z/data=!4m5!3m4!1s0x390d19b1b68b034f:0x3cfd94354e1650ac!8m2!3d28.4377598!4d77.0544047?hl=en&shorturl=1"
